x,y,z,targets
17.3906307220459,9.08868408203125,5.201671600341797,1
-18.86484718322754,9.202252388000488,9.252913475036621,0
12.118325233459473,1.3192918300628662,-13.281644821166992,1
-8.830658912658691,-19.69341278076172,2.1447079181671143,4
-18.884807586669922,9.478520393371582,10.307686805725098,0
-13.8856840133667,10.51910400390625,1.3066767454147339,0
12.97634220123291,-9.892062187194824,-3.2105774879455566,7
-12.590435028076172,-0.7658624649047852,-14.400347709655762,3
-8.082706451416016,-2.284747362136841,-6.664308547973633,5
-9.786454200744629,9.737738609313965,-4.927845478057861,3
5.888591289520264,9.902945518493652,-17.979637145996094,8
11.32961654663086,-8.037837028503418,7.79085111618042,9
11.84493350982666,3.037137985229492,-9.856966972351074,1
-14.013883590698242,4.440520286560059,-17.860898971557617,3
-13.22220230102539,9.09555721282959,-9.705101013183594,3
10.810410499572754,1.2267378568649292,-3.1995582580566406,1
6.15506649017334,15.415923118591309,-0.03839823231101036,2
-7.980892181396484,10.6880464553833,10.419565200805664,0
14.34921646118164,-7.386650562286377,0.2551882863044739,7
-18.30563735961914,-3.3802311420440674,2.0899367332458496,5
1.2414931058883667,10.112915992736816,-14.016783714294434,8
-10.426054000854492,2.447805166244507,13.185301780700684,6
6.911235809326172,14.472569465637207,-0.2246583104133606,2
-19.89887046813965,9.589254379272461,11.9635591506958,0
5.633349895477295,16.069843292236328,-1.6943271160125732,2
-9.976195335388184,12.145413398742676,-5.3505730628967285,3
-12.336112022399902,-6.479524612426758,5.840919017791748,6
11.99742317199707,-4.610713958740234,6.148285388946533,9
6.060173511505127,-10.126925468444824,5.615055561065674,9
14.274209976196289,-15.473280906677246,-4.433876037597656,7
3.0996286869049072,13.060307502746582,-14.925665855407715,8
-4.308284282684326,-16.21436882019043,-1.6850963830947876,9
-0.0054687755182385445,-15.60503101348877,9.80994987487793,4
6.912574291229248,-12.104490280151367,7.417018413543701,9
7.255143165588379,1.6970092058181763,10.197684288024902,2
9.967839241027832,-0.8994290232658386,-17.673290252685547,1
-6.810797214508057,6.744632720947266,-13.408014297485352,3
13.803790092468262,4.777603626251221,-7.438854217529297,1
15.132963180541992,6.422634124755859,-2.232940673828125,1
1.3766496181488037,-9.176176071166992,5.68259334564209,4
-3.7722909450531006,6.307147979736328,-8.424304962158203,9
13.573348999023438,1.9268875122070312,-11.608701705932617,1
-5.0538177490234375,-16.296010971069336,4.767962455749512,4
-3.7657835483551025,-9.584884643554688,2.623075008392334,4
9.336573600769043,5.7918291091918945,7.517574787139893,2
-11.561195373535156,-1.4962528944015503,3.7173633575439453,6
-7.2926859855651855,3.2029643058776855,-11.77000904083252,3
12.691121101379395,-12.579130172729492,-6.213569641113281,7
15.783036231994629,-8.753994941711426,7.57390022277832,7
0.6550122499465942,-9.576988220214844,7.326528549194336,4
9.514806747436523,-13.851076126098633,-5.141622066497803,7
-16.67964744567871,0.9868001341819763,-7.863161087036133,5
11.715341567993164,-0.5678759813308716,-8.743760108947754,1
-2.653280258178711,-19.4921932220459,-2.1877713203430176,9
-14.098488807678223,12.436371803283691,9.251839637756348,0
9.402915954589844,3.6894235610961914,8.158270835876465,2
8.330281257629395,8.030407905578613,6.762373447418213,2
